Date_Time,Serial#,Wavelength[nm],Power[W],Temperature_1[C],Temperature_2[C]
2021-11-03 18:16:54,dmged,375,2.54315619e-05,82.75,30.0
2021-11-03 18:17:44,dmged,375,2.54018578e-05,82.0,29.5
2021-11-03 18:18:34,dmged,375,2.54686965e-05,81.0,29.5
2021-11-03 18:19:24,dmged,375,2.53870021e-05,80.25,28.5
2021-11-03 18:20:14,dmged,375,2.54204224e-05,79.5,29.0
2021-11-03 18:21:05,dmged,375,2.54389888e-05,80.0,29.0
2021-11-03 18:21:55,dmged,375,2.54352781e-05,83.5,29.25
2021-11-03 18:22:45,dmged,375,2.54167098e-05,83.0,29.0
2021-11-03 18:23:35,dmged,375,2.54315619e-05,82.0,28.5
2021-11-03 18:24:25,dmged,375,2.54055703e-05,81.25,29.0
2021-11-03 18:25:15,dmged,375,2.54389888e-05,80.25,28.75
2021-11-03 18:26:05,dmged,375,2.5357298e-05,79.5,28.5
2021-11-03 18:26:55,dmged,375,2.53795788e-05,79.5,29.0
2021-11-03 18:27:45,dmged,375,2.54538409e-05,83.25,28.5
2021-11-03 18:28:35,dmged,375,2.53387298e-05,82.75,28.5
2021-11-03 18:29:25,dmged,375,2.54984006e-05,82.0,29.0
2021-11-03 18:30:15,dmged,375,2.54464176e-05,81.0,29.0
2021-11-03 18:31:05,dmged,375,2.54129973e-05,80.25,29.5
2021-11-03 18:31:55,dmged,375,2.54724091e-05,79.5,29.5
2021-11-03 18:32:45,dmged,375,2.54241368e-05,79.5,29.5
2021-11-03 18:33:35,dmged,375,2.54167098e-05,83.25,29.75
2021-11-03 18:34:25,dmged,375,2.53535854e-05,82.75,29.5
2021-11-03 18:35:15,dmged,375,2.54129973e-05,81.75,29.0
2021-11-03 18:36:05,dmged,375,2.55392479e-05,81.25,29.5
2021-11-03 18:36:55,dmged,375,2.55021168e-05,80.5,29.5
2021-11-03 18:37:45,dmged,375,2.53795788e-05,79.75,29.0
2021-11-03 18:38:35,dmged,375,2.55058294e-05,79.75,29.0
2021-11-03 18:39:25,dmged,375,2.54464176e-05,83.25,28.75
2021-11-03 18:40:15,dmged,375,2.54501301e-05,83.0,29.25
2021-11-03 18:41:05,dmged,375,2.55281084e-05,82.0,29.25
2021-11-03 18:41:55,dmged,375,2.53870021e-05,81.25,29.0
2021-11-03 18:42:45,dmged,375,2.53647231e-05,80.5,29.0
2021-11-03 18:43:35,dmged,375,2.54352781e-05,79.75,29.0
2021-11-03 18:44:25,dmged,375,2.55578161e-05,79.5,28.75
2021-11-03 18:45:15,dmged,375,2.54427014e-05,83.25,29.25
